GEOID,tract_median_hh_income,tract_median_gross_rent,tract_pct_renter,tract_pop_density_sqmi,tract_population
06087120302,119464.0,2555.0,0.34023464458247066,1343.8972725939518,3616.0
06087120400,98304.0,1827.0,0.24786810687890848,405.96604504906753,4213.0
06087120500,153854.0,3501.0,0.2793733681462141,101.89156988567186,5746.0
06087120600,142167.0,2398.0,0.12172489082969433,349.87426087639034,4659.0
06087120700,127650.0,2028.0,0.2611428571428571,499.42652098926953,4040.0
06087120800,160592.0,2313.0,0.1305827307528711,1773.720796510461,6013.0
06087120901,131806.0,1960.0,0.08080808080808081,503.9712629740844,3575.0
06087120902,119500.0,2482.0,0.46890672016048146,1887.2236887736606,4718.0
06087121000,149953.0,3250.0,0.17587939698492464,104.01147674978353,2985.0
06087121100,114617.0,927.0,0.15777610818933133,397.40498470624436,2938.0
06087121200,174408.0,2263.0,0.25112843660238,549.3489751645899,6913.0
06087121300,143068.0,2557.0,0.39080459770114945,2648.8679234143992,4008.0
06087121401,96829.0,2400.0,0.4140386571719227,6533.441600562918,2963.0
06087121402,98388.0,2165.0,0.5552927261975162,7964.547566392624,4119.0
06087121403,87917.0,2718.0,0.403214535290007,7367.581533581797,3382.0
06087121501,108158.0,2375.0,0.6081081081081081,5662.162183772696,2705.0
06087121502,87737.0,2339.0,0.5681341719077568,11147.36704783681,2368.0
06087121601,124489.0,2846.0,0.5198776758409785,7658.180103506467,3464.0
06087121602,98650.0,1607.0,0.17493692178301093,7418.639393049442,2529.0
06087121701,113649.0,2554.0,0.47449521785334753,9410.423815515682,4409.0
06087121702,121231.0,3054.0,0.26671459381739754,6192.559733765193,3406.0
06087121801,99769.0,2306.0,0.6268292682926829,5050.530081809456,1536.0
06087121802,95525.0,2481.0,0.495603517186251,5957.182844845207,2273.0
06087122001,132829.0,1761.0,0.2701325178389399,447.20726240779373,5419.0
06087122002,156569.0,1848.0,0.12946783161239078,170.29487618008247,3398.0
06087122004,140169.0,,0.36768558951965064,2144.784165896692,2747.0
06087122005,118274.0,2497.0,0.33548387096774196,5081.92858346065,4373.0
06087122100,130385.0,2462.0,0.47345132743362833,3778.3845342759428,3299.0
06087122202,178606.0,3379.0,0.083986562150056,2154.338654052507,2186.0
06087122203,132838.0,3280.0,0.3487654320987654,4110.66692077093,3912.0
06087122204,129886.0,2156.0,0.31004784688995213,1320.3523703400538,3043.0
06087122205,182050.0,3501.0,0.23465423465423466,3001.8422164580525,3103.0
06087122300,103929.0,1587.0,0.33974358974358976,235.40509409810113,3804.0
06087122401,132578.0,1474.0,0.31487513572204123,89.91345609471081,2430.0
06087122402,158343.0,2167.0,0.18483174284279258,305.6154636172467,4275.0
06087122500,115175.0,2179.0,0.34968944099378885,1508.6879543592743,7088.0
06087123100,108833.0,1660.0,0.19339622641509435,951.9295297444291,2818.0
06087123300,140250.0,1976.0,0.407098121085595,56.625309410901686,1598.0
06087990100,,,,,0.0
06053000101,110313.0,2125.0,0.22058823529411764,634.916518707088,2429.0
06053000103,95325.0,2108.0,0.7771303714493809,10719.010244652194,4245.0
06053000104,120391.0,1992.0,0.13641133263378805,4336.746498901785,3413.0
06053000105,150221.0,3501.0,0.12575574365175332,8563.39696039172,3069.0
06053000106,99063.0,2280.0,0.4423465947403911,13370.055080889708,5914.0
06053000200,105000.0,2093.0,0.34960159362549803,10931.187404650891,6932.0
06053000300,93606.0,2099.0,0.39914163090128757,9859.68325446135,4672.0
06053000400,64165.0,2102.0,0.7633035334184759,8466.43211126721,8202.0
06053000501,69028.0,1862.0,0.9604672057502246,28743.509550571896,5679.0
06053000502,75662.0,1752.0,0.518955349620893,4481.436484897573,4828.0
06053000600,58582.0,1701.0,0.6009783368273934,16805.072105491476,7000.0
06053000701,65223.0,1735.0,0.76522506619594,22241.21025641189,5396.0
06053000702,81607.0,2005.0,0.8589181286549707,35406.87873751197,6638.0
06053000800,71737.0,1792.0,0.4981467753891772,14218.34094774017,5624.0
06053000900,74083.0,1788.0,0.5735930735930735,8562.512555382214,5478.0
06053001200,89180.0,1868.0,0.3447024673439768,6968.547691192582,3313.0
06053001300,50250.0,1559.0,0.9071100917431193,8662.148853035662,3092.0
06053001400,112768.0,1888.0,0.5489878542510122,6430.922218575981,3078.0
06053001500,98250.0,2176.0,0.6745833333333333,3477.5313198373146,6287.0
06053001600,131307.0,2083.0,0.24321389793702497,8226.576775403166,2747.0
06053001700,100705.0,1790.0,0.6604426002766252,11944.775885694213,4464.0
06053001801,102024.0,2181.0,0.36421725239616615,4404.856594673254,4759.0
06053001802,80432.0,2032.0,0.734208880550344,9429.528503089807,5455.0
06053010101,64896.0,1773.0,0.5705882352941176,401.81042488765087,4053.0
06053010102,172083.0,,0.09297725024727992,209.70074779683333,2509.0
06053010202,83531.0,1860.0,0.2856006364359586,252.37336166322262,3930.0
06053010305,102102.0,2093.0,0.22018927444794953,882.2012235567909,5344.0
06053010306,53900.0,1459.0,0.45475113122171945,59.227117087551676,1390.0
06053010400,89354.0,1948.0,0.5446485117162762,6578.689880069745,6720.0
06053010501,122890.0,2109.0,0.14933837429111532,293.6664303164597,7608.0
06053010504,94635.0,2147.0,0.6436482084690553,449.43210171571445,5206.0
06053010505,77543.0,2095.0,0.35294117647058826,17104.89487265816,5716.0
06053010506,75841.0,2296.0,0.7873799725651578,17177.255433126895,5816.0
06053010603,134401.0,1854.0,0.18463740458015268,9638.886128942017,7450.0
06053010604,120000.0,2689.0,0.23338368580060423,12469.597746532623,5778.0
06053010605,116333.0,1784.0,0.3527724665391969,10392.29999991681,4341.0
06053010606,102474.0,1551.0,0.3394181403308614,67.68229018767363,7487.0
06053010607,84238.0,2067.0,0.6572972972972972,24180.901430048732,4144.0
06053010608,123646.0,2081.0,0.6755905511811023,4648.8487988923025,3924.0
06053010702,179167.0,2580.0,0.16137931034482758,64.18099441152238,3520.0
06053010804,61527.0,1392.0,0.6253424657534247,109.3218713820707,5046.0
06053010900,,,0.0,4552.946482329574,6568.0
